name,n_dialogues,n_sentences_dialogue,n_tokens_dialogue,n_tokens_per_sentence,n_extracts_per_summary_rel,n_tokens_per_extract_rel,n_extracts_per_summary_fine,n_tokens_per_extract_fine
test,819,4,71,17.75,4,12.25,4,5.25
test,819,2,69,34.5,3,8.666666666666666,3,3.6666666666666665
test,819,4,71,17.75,3,13.0,3,6.333333333333333
test,819,8,77,9.625,4,15.25,4,7.5
test,819,4,50,12.5,2,7.0,2,1.5
test,819,7,63,9.0,2,16.0,2,8.5
test,819,16,133,8.3125,5,17.8,7,4.571428571428571
test,819,13,102,7.846153846153846,3,15.666666666666666,3,6.333333333333333
test,819,2,38,19.0,1,7.0,2,1.0
test,819,4,150,37.5,4,8.25,4,3.25
test,819,4,40,10.0,2,13.0,3,5.0
test,819,3,84,28.0,5,13.0,5,6.8
test,819,19,242,12.736842105263158,9,16.77777777777778,10,6.2
test,819,8,62,7.75,2,15.0,2,5.5
test,819,5,33,6.6,1,13.0,1,5.0
test,819,6,120,20.0,6,14.666666666666666,7,6.0
test,819,20,170,8.5,5,16.2,7,6.428571428571429
test,819,5,90,18.0,4,11.75,6,4.666666666666667
test,819,9,79,8.777777777777779,3,20.666666666666668,2,7.0
test,819,3,53,17.666666666666668,2,8.5,2,3.5
test,819,5,73,14.6,2,22.0,1,13.0
test,819,5,92,18.4,4,17.25,4,9.25
test,819,27,383,14.185185185185185,11,25.545454545454547,7,10.428571428571429
test,819,6,41,6.833333333333333,3,9.333333333333334,5,2.6
test,819,1,70,70.0,2,16.5,2,5.0
test,819,15,285,19.0,8,18.0,7,11.0
test,819,16,161,10.0625,7,19.428571428571427,7,5.857142857142857
test,819,16,160,10.0,7,11.857142857142858,8,4.875
test,819,3,56,18.666666666666668,1,5.0,1,1.0
test,819,24,352,14.666666666666666,5,23.6,6,7.166666666666667
test,819,7,101,14.428571428571429,6,12.666666666666666,7,7.0
test,819,2,144,72.0,7,8.714285714285714,5,3.4
test,819,10,80,8.0,4,14.5,4,6.25
test,819,8,135,16.875,7,11.714285714285714,8,5.25
test,819,5,157,31.4,11,10.636363636363637,10,5.3
test,819,6,103,17.166666666666668,3,8.333333333333334,3,4.0
test,819,28,307,10.964285714285714,12,18.083333333333332,11,6.818181818181818
test,819,9,77,8.555555555555555,3,18.666666666666668,2,2.5
test,819,4,47,11.75,2,8.5,2,3.0
test,819,14,168,12.0,7,11.142857142857142,6,3.0
test,819,11,205,18.636363636363637,9,20.333333333333332,13,7.615384615384615
test,819,3,38,12.666666666666666,1,12.0,2,3.5
test,819,9,105,11.666666666666666,8,11.125,10,4.6
test,819,8,60,7.5,4,13.25,3,7.666666666666667
test,819,11,142,12.909090909090908,4,17.75,5,3.2
test,819,4,38,9.5,1,12.0,1,7.0
test,819,3,67,22.333333333333332,2,11.5,2,6.0
test,819,8,67,8.375,5,12.0,5,4.8
test,819,30,225,7.5,9,15.11111111111111,8,4.0
test,819,1,33,33.0,1,8.0,2,2.5
test,819,4,38,9.5,2,6.5,2,1.0
test,819,5,36,7.2,2,10.5,2,3.0
test,819,5,53,10.6,4,8.25,6,2.1666666666666665
test,819,4,125,31.25,4,12.75,5,6.4
test,819,7,47,6.714285714285714,3,13.666666666666666,3,5.666666666666667
test,819,3,28,9.333333333333334,1,12.0,1,9.0
test,819,4,36,9.0,2,7.0,2,2.0
test,819,29,254,8.758620689655173,11,15.363636363636363,7,5.142857142857143
test,819,30,231,7.7,12,13.916666666666666,11,6.545454545454546
test,819,20,143,7.15,6,15.666666666666666,8,5.25
test,819,9,97,10.777777777777779,3,23.333333333333332,4,7.25
test,819,26,306,11.76923076923077,16,13.9375,17,3.764705882352941
test,819,15,303,20.2,9,15.666666666666666,8,4.375
test,819,20,128,6.4,5,11.2,5,6.6
test,819,2,150,75.0,6,14.5,6,8.5
test,819,2,60,30.0,2,16.0,2,3.0
test,819,4,60,15.0,3,13.333333333333334,4,5.75
test,819,45,444,9.866666666666667,17,25.647058823529413,20,7.1
test,819,3,94,31.333333333333332,4,10.0,4,5.25
test,819,22,155,7.045454545454546,5,12.0,5,4.2
test,819,1,23,23.0,1,11.0,1,5.0
test,819,10,146,14.6,6,13.333333333333334,6,7.666666666666667
test,819,1,19,19.0,1,8.0,1,3.0
test,819,13,144,11.076923076923077,3,9.0,3,4.0
test,819,5,62,12.4,2,16.0,2,9.0
test,819,8,151,18.875,6,10.5,6,3.8333333333333335
test,819,4,57,14.25,4,11.5,3,3.6666666666666665
test,819,4,55,13.75,4,9.75,4,4.0
test,819,8,72,9.0,4,8.5,4,3.5
test,819,26,227,8.73076923076923,13,12.846153846153847,12,4.833333333333333
test,819,4,166,41.5,6,11.166666666666666,4,5.5
test,819,25,185,7.4,10,16.2,12,5.083333333333333
test,819,8,97,12.125,5,16.4,6,8.166666666666666
test,819,7,183,26.142857142857142,8,16.0,11,6.2727272727272725
test,819,18,241,13.38888888888889,11,16.454545454545453,12,7.166666666666667
test,819,6,90,15.0,4,15.0,3,9.0
test,819,2,41,20.5,4,8.25,3,3.0
test,819,6,71,11.833333333333334,5,10.4,5,5.2
test,819,1,17,17.0,1,6.0,1,1.0
test,819,20,228,11.4,7,13.428571428571429,7,7.857142857142857
test,819,16,120,7.5,2,15.0,2,9.0
test,819,4,35,8.75,3,11.666666666666666,3,5.0
test,819,7,46,6.571428571428571,4,11.5,4,4.0
test,819,9,65,7.222222222222222,3,9.0,3,4.333333333333333
test,819,10,88,8.8,6,14.833333333333334,5,5.4
test,819,29,193,6.655172413793103,11,14.909090909090908,10,5.2
test,819,7,97,13.857142857142858,3,6.666666666666667,5,1.6
test,819,6,107,17.833333333333332,6,13.666666666666666,5,7.8
test,819,2,39,19.5,1,13.0,1,8.0
test,819,30,197,6.566666666666666,6,15.0,6,4.166666666666667
test,819,25,258,10.32,6,30.666666666666668,7,6.285714285714286
test,819,15,149,9.933333333333334,5,16.6,4,6.5
test,819,7,113,16.142857142857142,5,9.8,4,4.75
test,819,27,319,11.814814814814815,12,18.166666666666668,10,6.0
test,819,1,22,22.0,1,9.0,1,5.0
test,819,5,386,77.2,17,19.823529411764707,15,11.2
test,819,4,27,6.75,2,11.0,4,1.75
test,819,7,63,9.0,6,10.5,0,0.0
test,819,7,76,10.857142857142858,1,17.0,1,7.0
test,819,7,88,12.571428571428571,2,14.0,2,4.0
test,819,6,65,10.833333333333334,3,9.666666666666666,4,2.25
test,819,6,38,6.333333333333333,2,8.0,2,3.0
test,819,42,420,10.0,7,27.285714285714285,2,9.0
test,819,12,184,15.333333333333334,8,9.875,7,5.142857142857143
test,819,24,175,7.291666666666667,9,13.222222222222221,6,4.333333333333333
test,819,7,77,11.0,4,9.75,4,3.0
test,819,26,191,7.346153846153846,8,13.25,9,3.7777777777777777
test,819,32,343,10.71875,9,30.444444444444443,14,6.071428571428571
test,819,14,158,11.285714285714286,4,17.0,4,5.75
test,819,3,146,48.666666666666664,8,13.375,7,7.142857142857143
test,819,6,94,15.666666666666666,3,19.333333333333332,4,7.25
test,819,10,59,5.9,4,11.75,4,3.25
test,819,7,75,10.714285714285714,5,10.0,6,4.333333333333333
test,819,3,45,15.0,2,11.0,2,5.5
test,819,19,123,6.473684210526316,2,16.0,1,7.0
test,819,4,46,11.5,5,9.2,0,0.0
test,819,3,31,10.333333333333334,2,6.5,3,1.6666666666666667
test,819,8,104,13.0,6,8.5,6,3.6666666666666665
test,819,5,65,13.0,5,9.6,5,5.0
test,819,27,239,8.851851851851851,7,19.571428571428573,6,4.333333333333333
test,819,31,288,9.290322580645162,7,25.0,4,8.0
test,819,11,78,7.090909090909091,4,12.5,5,3.0
test,819,4,73,18.25,3,19.333333333333332,4,6.0
test,819,3,39,13.0,2,14.0,2,6.5
test,819,9,106,11.777777777777779,3,12.333333333333334,3,5.666666666666667
test,819,33,254,7.696969696969697,10,15.4,10,5.1
test,819,10,84,8.4,4,13.5,4,7.25
test,819,6,100,16.666666666666668,2,10.5,2,5.0
test,819,15,211,14.066666666666666,5,29.2,4,5.25
test,819,10,87,8.7,6,9.833333333333334,6,4.333333333333333
test,819,25,157,6.28,3,10.666666666666666,4,2.75
test,819,24,341,14.208333333333334,15,19.2,17,7.588235294117647
test,819,22,253,11.5,9,17.88888888888889,8,8.75
test,819,52,485,9.326923076923077,14,23.285714285714285,14,6.0
test,819,15,119,7.933333333333334,4,16.5,5,5.8
test,819,5,72,14.4,1,41.0,1,17.0
test,819,6,48,8.0,3,13.666666666666666,3,6.0
test,819,13,97,7.461538461538462,1,9.0,1,4.0
test,819,9,69,7.666666666666667,7,7.714285714285714,7,2.142857142857143
test,819,34,267,7.852941176470588,9,15.333333333333334,9,6.0
test,819,24,215,8.958333333333334,8,23.0,9,8.444444444444445
test,819,12,152,12.666666666666666,3,10.333333333333334,3,6.0
test,819,19,439,23.105263157894736,15,23.133333333333333,14,10.928571428571429
test,819,16,167,10.4375,5,20.8,8,6.625
test,819,12,86,7.166666666666667,5,11.8,6,4.333333333333333
test,819,10,174,17.4,13,7.615384615384615,15,2.8666666666666667
test,819,13,222,17.076923076923077,4,46.75,9,10.11111111111111
test,819,5,177,35.4,6,16.166666666666668,8,4.25
test,819,14,106,7.571428571428571,2,18.0,2,3.5
test,819,3,51,17.0,3,9.666666666666666,4,3.25
test,819,4,129,32.25,1,11.0,1,3.0
test,819,7,69,9.857142857142858,3,12.333333333333334,5,3.2
test,819,4,73,18.25,6,12.166666666666666,7,4.714285714285714
test,819,25,246,9.84,7,14.857142857142858,6,6.5
test,819,4,223,55.75,13,11.0,7,5.142857142857143
test,819,11,233,21.181818181818183,10,12.9,11,5.818181818181818
test,819,10,103,10.3,2,12.0,2,4.5
test,819,6,98,16.333333333333332,4,16.0,4,9.5
test,819,23,226,9.826086956521738,10,17.0,9,6.555555555555555
test,819,6,50,8.333333333333334,3,11.666666666666666,3,5.666666666666667
test,819,30,313,10.433333333333334,10,25.7,13,7.0
test,819,10,168,16.8,7,11.285714285714286,9,4.222222222222222
test,819,11,126,11.454545454545455,5,11.8,5,5.0
test,819,5,46,9.2,2,10.0,4,2.0
test,819,5,24,4.8,1,8.0,1,2.0
test,819,22,198,9.0,14,13.0,15,4.133333333333334
test,819,10,85,8.5,2,12.5,2,8.0
test,819,13,208,16.0,8,14.375,7,7.714285714285714
test,819,1,22,22.0,1,11.0,2,1.5
test,819,4,47,11.75,2,7.0,2,3.0
test,819,4,73,18.25,3,8.666666666666666,3,4.333333333333333
test,819,4,32,8.0,2,9.5,2,4.0
test,819,2,31,15.5,2,12.5,4,1.75
test,819,15,208,13.866666666666667,6,10.5,7,3.857142857142857
test,819,10,161,16.1,5,26.0,7,10.0
test,819,7,146,20.857142857142858,9,11.333333333333334,12,4.25
test,819,24,195,8.125,6,16.666666666666668,6,7.166666666666667
test,819,14,232,16.571428571428573,4,16.75,3,6.333333333333333
test,819,5,62,12.4,5,9.2,5,4.2
test,819,5,50,10.0,1,10.0,1,4.0
test,819,10,76,7.6,2,14.0,2,6.0
test,819,33,403,12.212121212121213,14,20.714285714285715,16,8.125
test,819,10,81,8.1,2,16.0,2,10.0
test,819,14,89,6.357142857142857,2,21.5,2,5.5
test,819,11,94,8.545454545454545,6,13.333333333333334,7,4.428571428571429
test,819,12,174,14.5,7,17.857142857142858,8,7.625
test,819,16,87,5.4375,4,10.75,4,4.5
test,819,3,76,25.333333333333332,3,11.0,3,5.333333333333333
test,819,9,136,15.11111111111111,6,13.666666666666666,6,7.666666666666667
test,819,5,27,5.4,2,11.0,2,4.5
test,819,3,70,23.333333333333332,4,15.25,3,7.666666666666667
test,819,6,51,8.5,3,12.0,3,4.333333333333333
test,819,4,100,25.0,7,13.285714285714286,8,6.25
test,819,7,99,14.142857142857142,5,14.2,6,4.333333333333333
test,819,12,140,11.666666666666666,13,9.307692307692308,13,4.230769230769231
test,819,21,307,14.619047619047619,6,15.5,6,8.5
test,819,6,83,13.833333333333334,3,8.0,3,1.6666666666666667
test,819,8,131,16.375,9,10.11111111111111,10,4.7
test,819,19,149,7.842105263157895,9,16.11111111111111,12,5.166666666666667
test,819,2,16,8.0,1,8.0,2,1.0
test,819,6,106,17.666666666666668,6,14.0,6,7.166666666666667
test,819,17,152,8.941176470588236,9,11.0,10,5.9
test,819,10,70,7.0,3,12.0,3,4.666666666666667
test,819,6,54,9.0,4,7.5,3,4.333333333333333
test,819,23,294,12.782608695652174,13,16.0,15,5.6
test,819,3,126,42.0,7,13.285714285714286,6,6.333333333333333
test,819,6,31,5.166666666666667,2,9.0,3,3.3333333333333335
test,819,10,152,15.2,3,9.666666666666666,4,4.0
test,819,1,56,56.0,5,9.2,5,4.4
test,819,9,122,13.555555555555555,5,12.6,5,6.8
test,819,4,56,14.0,3,8.666666666666666,4,2.5
test,819,4,32,8.0,2,11.5,2,3.5
test,819,3,54,18.0,4,12.5,5,5.8
test,819,4,39,9.75,2,12.5,2,6.5
test,819,10,129,12.9,1,8.0,1,4.0
test,819,16,221,13.8125,11,17.0,12,7.333333333333333
test,819,5,79,15.8,2,26.5,1,13.0
test,819,10,115,11.5,6,15.166666666666666,7,7.142857142857143
test,819,11,91,8.272727272727273,3,11.333333333333334,5,2.8
test,819,10,235,23.5,8,12.625,8,6.125
test,819,22,306,13.909090909090908,12,17.75,14,7.928571428571429
test,819,10,123,12.3,4,21.0,4,4.75
test,819,9,178,19.77777777777778,7,12.857142857142858,8,2.25
test,819,6,98,16.333333333333332,5,16.2,4,8.75
test,819,21,252,12.0,12,10.666666666666666,10,4.0
test,819,21,204,9.714285714285714,9,16.666666666666668,12,5.5
test,819,3,44,14.666666666666666,3,7.666666666666667,3,1.6666666666666667
test,819,14,229,16.357142857142858,13,10.923076923076923,10,4.2
test,819,10,107,10.7,4,13.25,4,5.75
test,819,27,403,14.925925925925926,20,16.25,17,8.764705882352942
test,819,44,482,10.954545454545455,20,19.45,17,6.176470588235294
test,819,4,36,9.0,1,11.0,1,5.0
test,819,2,35,17.5,2,11.5,2,6.5
test,819,3,35,11.666666666666666,2,7.0,3,2.3333333333333335
test,819,15,229,15.266666666666667,8,19.5,11,5.454545454545454
test,819,7,178,25.428571428571427,4,14.5,3,3.6666666666666665
test,819,5,58,11.6,3,14.0,3,6.0
test,819,16,183,11.4375,9,15.444444444444445,11,6.181818181818182
test,819,4,104,26.0,2,8.5,2,4.5
test,819,19,150,7.894736842105263,3,21.0,3,6.666666666666667
test,819,31,377,12.161290322580646,18,17.88888888888889,13,8.384615384615385
test,819,14,145,10.357142857142858,7,12.714285714285714,6,6.166666666666667
test,819,53,471,8.88679245283019,16,18.4375,17,6.9411764705882355
test,819,2,48,24.0,2,11.0,2,5.5
test,819,9,90,10.0,3,19.333333333333332,3,5.0
test,819,2,49,24.5,2,6.5,2,2.0
test,819,8,137,17.125,6,11.666666666666666,6,7.0
test,819,17,262,15.411764705882353,8,29.0,11,6.909090909090909
test,819,17,222,13.058823529411764,7,12.857142857142858,6,4.0
test,819,6,84,14.0,3,21.666666666666668,4,7.25
test,819,5,39,7.8,1,18.0,1,6.0
test,819,14,212,15.142857142857142,5,18.0,4,8.5
test,819,1,72,72.0,5,9.6,6,4.5
test,819,9,80,8.88888888888889,5,12.4,5,3.2
test,819,11,103,9.363636363636363,7,8.428571428571429,6,3.0
test,819,9,266,29.555555555555557,8,12.5,6,4.5
test,819,16,165,10.3125,4,14.0,5,5.6
test,819,2,24,12.0,2,9.0,2,4.0
test,819,3,69,23.0,3,14.333333333333334,3,9.666666666666666
test,819,3,35,11.666666666666666,2,10.0,2,6.0
test,819,4,100,25.0,5,17.4,4,11.0
test,819,10,57,5.7,1,8.0,1,4.0
test,819,6,152,25.333333333333332,7,15.0,7,8.285714285714286
test,819,3,30,10.0,2,10.0,2,4.0
test,819,15,247,16.466666666666665,7,13.285714285714286,9,6.0
test,819,10,97,9.7,4,10.5,4,4.75
test,819,4,32,8.0,2,12.5,3,6.0
test,819,21,173,8.238095238095237,7,14.714285714285714,7,5.142857142857143
test,819,33,259,7.848484848484849,11,17.181818181818183,13,4.0
test,819,6,59,9.833333333333334,1,7.0,1,2.0
test,819,4,52,13.0,2,10.0,2,5.0
test,819,6,104,17.333333333333332,4,18.0,6,6.833333333333333
test,819,15,142,9.466666666666667,4,20.5,4,6.75
test,819,11,100,9.090909090909092,3,14.0,3,7.0
test,819,14,142,10.142857142857142,9,11.11111111111111,15,2.8
test,819,13,170,13.076923076923077,9,17.0,11,6.363636363636363
test,819,2,53,26.5,3,12.666666666666666,3,7.333333333333333
test,819,13,124,9.538461538461538,5,17.8,6,7.0
test,819,21,234,11.142857142857142,9,15.555555555555555,8,5.375
test,819,6,40,6.666666666666667,3,8.666666666666666,3,4.0
test,819,35,307,8.771428571428572,10,26.1,8,7.875
test,819,1,117,117.0,6,14.333333333333334,5,6.6
test,819,20,148,7.4,8,10.25,8,4.25
test,819,4,31,7.75,2,8.5,3,2.3333333333333335
test,819,15,133,8.866666666666667,6,12.666666666666666,6,5.666666666666667
test,819,3,27,9.0,1,12.0,1,7.0
test,819,3,24,8.0,3,6.666666666666667,3,2.6666666666666665
test,819,2,39,19.5,2,12.0,2,5.5
test,819,78,675,8.653846153846153,23,28.652173913043477,26,7.384615384615385
test,819,19,187,9.842105263157896,4,28.75,3,14.0
test,819,8,79,9.875,4,12.5,5,4.4
test,819,3,166,55.333333333333336,5,22.2,4,10.25
test,819,8,112,14.0,5,13.0,5,6.0
test,819,11,68,6.181818181818182,3,9.333333333333334,3,4.666666666666667
test,819,11,116,10.545454545454545,2,14.5,2,6.5
test,819,15,133,8.866666666666667,6,22.166666666666668,7,4.857142857142857
test,819,4,108,27.0,3,13.333333333333334,5,4.8
test,819,8,142,17.75,7,15.714285714285714,10,4.4
test,819,7,54,7.714285714285714,3,13.333333333333334,3,5.0
test,819,9,192,21.333333333333332,13,10.846153846153847,15,4.133333333333334
test,819,12,104,8.666666666666666,4,18.5,6,6.833333333333333
test,819,13,323,24.846153846153847,16,13.4375,15,6.733333333333333
test,819,3,25,8.333333333333334,1,11.0,1,7.0
test,819,8,89,11.125,4,14.25,4,8.0
test,819,10,76,7.6,2,14.0,2,7.5
test,819,4,118,29.5,3,10.0,2,4.0
test,819,19,121,6.368421052631579,8,11.5,7,3.7142857142857144
test,819,1,51,51.0,2,6.5,2,2.5
test,819,23,268,11.652173913043478,13,19.384615384615383,18,6.222222222222222
test,819,22,278,12.636363636363637,7,24.0,6,9.333333333333334
test,819,40,279,6.975,8,26.5,12,5.333333333333333
test,819,9,71,7.888888888888889,2,10.5,2,4.5
test,819,23,353,15.347826086956522,20,14.1,18,6.5
test,819,20,158,7.9,4,11.0,3,4.666666666666667
test,819,23,173,7.521739130434782,6,13.833333333333334,6,6.0
test,819,2,60,30.0,5,8.4,5,2.4
test,819,6,76,12.666666666666666,4,15.25,5,4.2
test,819,7,41,5.857142857142857,4,8.25,4,2.5
test,819,28,235,8.392857142857142,10,12.8,10,4.4
test,819,8,98,12.25,1,8.0,1,3.0
test,819,4,41,10.25,4,10.25,6,3.6666666666666665
test,819,8,88,11.0,3,10.666666666666666,3,4.333333333333333
test,819,14,103,7.357142857142857,5,18.0,7,3.857142857142857
test,819,5,28,5.6,2,8.5,2,2.5
test,819,9,89,9.88888888888889,3,21.0,3,11.0
test,819,5,53,10.6,5,9.2,6,3.5
test,819,26,315,12.115384615384615,12,19.25,13,6.846153846153846
test,819,10,176,17.6,6,24.5,6,12.333333333333334
test,819,17,231,13.588235294117647,8,23.75,9,12.444444444444445
test,819,17,227,13.352941176470589,7,12.714285714285714,7,5.857142857142857
test,819,5,57,11.4,5,9.8,5,4.4
test,819,4,18,4.5,1,8.0,1,2.0
test,819,21,139,6.619047619047619,7,12.0,7,3.857142857142857
test,819,4,96,24.0,5,10.8,5,5.2
test,819,17,226,13.294117647058824,5,20.8,4,4.5
test,819,5,121,24.2,8,13.75,9,7.0
test,819,45,478,10.622222222222222,18,21.333333333333332,17,7.0588235294117645
test,819,43,362,8.418604651162791,7,32.42857142857143,7,8.714285714285714
test,819,10,189,18.9,5,15.2,5,7.2
test,819,4,53,13.25,2,15.0,2,4.0
test,819,11,198,18.0,7,13.571428571428571,7,7.857142857142857
test,819,6,32,5.333333333333333,1,12.0,1,2.0
test,819,15,155,10.333333333333334,9,10.333333333333334,9,3.2222222222222223
test,819,8,140,17.5,10,10.9,8,3.75
test,819,4,73,18.25,3,17.333333333333332,2,14.0
test,819,15,204,13.6,6,18.166666666666668,5,11.2
test,819,4,27,6.75,1,6.0,1,1.0
test,819,4,111,27.75,5,8.6,5,4.0
test,819,7,70,10.0,3,9.666666666666666,4,4.0
test,819,7,63,9.0,4,12.0,4,4.25
test,819,1,29,29.0,1,9.0,1,5.0
test,819,28,489,17.464285714285715,13,30.23076923076923,10,11.1
test,819,8,68,8.5,3,8.666666666666666,4,3.0
test,819,34,244,7.176470588235294,15,14.066666666666666,20,4.5
test,819,3,55,18.333333333333332,3,9.666666666666666,3,5.0
test,819,4,82,20.5,5,10.8,5,3.8
test,819,5,68,13.6,5,9.4,4,3.75
test,819,37,241,6.513513513513513,12,12.333333333333334,13,4.384615384615385
test,819,16,225,14.0625,8,16.625,9,6.444444444444445
test,819,14,155,11.071428571428571,7,19.285714285714285,3,16.666666666666668
test,819,4,111,27.75,4,8.0,4,3.5
test,819,3,154,51.333333333333336,6,14.666666666666666,6,6.666666666666667
test,819,14,106,7.571428571428571,2,12.5,2,5.5
test,819,16,157,9.8125,5,28.8,8,6.875
test,819,15,272,18.133333333333333,12,12.5,12,4.166666666666667
test,819,19,146,7.684210526315789,5,13.4,4,6.75
test,819,14,175,12.5,8,14.25,5,8.0
test,819,29,197,6.793103448275862,8,16.125,9,5.888888888888889
test,819,24,371,15.458333333333334,18,20.61111111111111,21,7.904761904761905
test,819,21,392,18.666666666666668,18,17.72222222222222,16,7.75
test,819,7,104,14.857142857142858,4,11.5,4,6.0
test,819,8,103,12.875,6,13.166666666666666,5,5.8
test,819,4,203,50.75,6,15.166666666666666,5,8.6
test,819,16,198,12.375,1,45.0,1,27.0
test,819,8,142,17.75,6,16.333333333333332,6,8.5
test,819,6,73,12.166666666666666,2,21.5,2,10.0
test,819,7,103,14.714285714285714,7,9.857142857142858,7,5.428571428571429
test,819,5,210,42.0,9,17.444444444444443,9,6.555555555555555
test,819,9,56,6.222222222222222,2,14.5,2,5.5
test,819,4,24,6.0,2,6.0,2,1.0
test,819,11,130,11.818181818181818,3,12.0,3,2.3333333333333335
test,819,4,35,8.75,2,12.5,1,3.0
test,819,6,76,12.666666666666666,3,17.666666666666668,3,8.666666666666666
test,819,7,127,18.142857142857142,5,19.8,5,10.0
test,819,17,143,8.411764705882353,6,19.833333333333332,8,4.375
test,819,3,76,25.333333333333332,5,13.2,6,5.833333333333333
test,819,14,203,14.5,8,12.625,9,4.444444444444445
test,819,8,46,5.75,3,9.333333333333334,3,2.3333333333333335
test,819,5,121,24.2,8,13.0,8,6.75
test,819,3,39,13.0,1,16.0,1,10.0
test,819,3,51,17.0,2,10.5,3,4.0
test,819,2,73,36.5,2,8.5,3,2.3333333333333335
test,819,3,66,22.0,2,17.0,2,6.0
test,819,25,199,7.96,11,12.909090909090908,10,4.4
test,819,23,193,8.391304347826088,7,10.285714285714286,6,3.1666666666666665
test,819,8,138,17.25,6,13.833333333333334,4,6.25
test,819,45,351,7.8,13,17.307692307692307,12,6.916666666666667
test,819,21,172,8.19047619047619,6,20.5,8,4.5
test,819,7,67,9.571428571428571,4,7.75,4,2.0
test,819,29,214,7.379310344827586,9,12.555555555555555,9,5.555555555555555
test,819,18,145,8.055555555555555,5,16.4,6,4.666666666666667
test,819,6,69,11.5,4,17.25,3,11.0
test,819,5,107,21.4,6,13.0,7,5.857142857142857
test,819,3,70,23.333333333333332,4,13.75,4,7.5
test,819,5,50,10.0,2,16.0,2,8.0
test,819,18,185,10.277777777777779,8,19.625,5,7.4
test,819,8,74,9.25,4,13.75,5,4.4
test,819,7,158,22.571428571428573,5,13.6,6,3.6666666666666665
test,819,15,132,8.8,6,18.666666666666668,5,6.6
test,819,6,108,18.0,1,18.0,2,5.0
test,819,8,238,29.75,7,15.0,6,8.5
test,819,3,58,19.333333333333332,3,9.666666666666666,3,5.333333333333333
test,819,12,98,8.166666666666666,2,8.0,2,3.0
test,819,8,91,11.375,2,13.5,2,7.0
test,819,19,244,12.842105263157896,10,19.1,9,6.222222222222222
test,819,12,142,11.833333333333334,4,15.25,4,7.5
test,819,22,274,12.454545454545455,16,12.5625,15,3.8
test,819,8,64,8.0,2,28.5,4,7.25
