name,n_dialogues,n_sentences_dialogue,n_tokens_dialogue,n_tokens_per_sentence,n_tokens_max_per_sentence_dialoguen_extracts_per_summary_rel,n_tokens_per_extract_rel,n_tokens_min_per_extract_rel,n_tokens_max_per_extract_rel,n_extracts_per_summary_fine,n_tokens_per_extract_fine,n_tokens_min_per_extract_fine,n_tokens_max_per_extract_fine,n_tokens_max_per_sentence_dialogue,n_extracts_per_summary_rel
test,819,41,383,9.341463414634147,,21.875,3,23,4,6.25,4,9,32.0,8.0
test,819,1,35,35.0,,14.5,14,15,2,4.5,4,5,35.0,2.0
test,819,9,123,13.666666666666666,,34.0,19,25,2,7.0,1,13,25.0,2.0
test,819,9,58,6.444444444444445,,7.5,6,9,3,1.6666666666666667,1,3,15.0,2.0
test,819,5,32,6.4,,8.0,6,10,3,2.0,1,4,10.0,2.0
test,819,12,122,10.166666666666666,,20.2,4,18,6,7.833333333333333,6,9,18.0,5.0
test,819,5,60,12.0,,17.0,17,17,1,12.0,12,12,27.0,1.0
test,819,8,127,15.875,,10.6,4,18,5,2.0,1,4,45.0,5.0
test,819,13,89,6.846153846153846,,14.5,3,15,2,6.0,6,6,15.0,2.0
test,819,5,61,12.2,,11.5,8,15,3,4.666666666666667,1,10,20.0,2.0
test,819,12,173,14.416666666666666,,13.875,3,26,6,5.0,1,9,30.0,8.0
test,819,31,302,9.741935483870968,,15.857142857142858,3,22,7,7.142857142857143,3,12,28.0,7.0
test,819,10,83,8.3,,12.666666666666666,12,14,4,3.75,1,8,26.0,3.0
test,819,39,304,7.794871794871795,,22.75,3,16,12,4.333333333333333,1,12,16.0,12.0
test,819,4,29,7.25,,10.5,3,10,2,4.0,3,5,13.0,2.0
test,819,3,75,25.0,,10.0,1,14,6,3.1666666666666665,1,9,63.0,5.0
test,819,1,71,71.0,,11.0,8,14,2,6.0,4,8,71.0,2.0
test,819,22,198,9.0,,16.8,2,21,11,2.4545454545454546,1,5,45.0,5.0
test,819,6,99,16.5,,8.0,3,7,1,2.0,2,2,45.0,2.0
test,819,2,46,23.0,,13.5,3,13,2,8.5,8,9,32.0,2.0
test,819,4,120,30.0,,11.75,2,18,4,5.5,1,12,41.0,4.0
test,819,22,156,7.090909090909091,,15.5,3,14,3,6.666666666666667,4,10,14.0,4.0
test,819,14,177,12.642857142857142,,9.4,2,11,5,3.6,1,8,43.0,5.0
test,819,4,71,17.75,,12.25,10,14,4,5.25,4,7,36.0,4.0
test,819,2,69,34.5,,8.666666666666666,5,14,3,3.6666666666666665,1,8,50.0,3.0
test,819,4,71,17.75,,13.0,3,15,3,6.333333333333333,3,11,41.0,3.0
test,819,8,77,9.625,,15.25,3,17,4,7.5,4,12,20.0,4.0
test,819,4,50,12.5,,7.0,6,8,2,1.5,1,2,20.0,2.0
test,819,7,63,9.0,,16.0,3,16,2,8.5,7,10,19.0,2.0
test,819,16,133,8.3125,,17.8,3,22,7,4.571428571428571,1,10,22.0,5.0
test,819,13,102,7.846153846153846,,15.666666666666666,5,19,3,6.333333333333333,3,11,21.0,3.0
test,819,2,38,19.0,,7.0,7,7,2,1.0,1,1,24.0,1.0
test,819,4,150,37.5,,8.25,5,10,4,3.25,1,6,72.0,4.0
test,819,4,40,10.0,,13.0,9,17,3,5.0,4,6,17.0,2.0
test,819,3,84,28.0,,13.0,3,20,5,6.8,5,10,41.0,5.0
test,819,19,242,12.736842105263158,,16.77777777777778,3,18,10,6.2,2,12,59.0,9.0
test,819,8,62,7.75,,15.0,4,9,2,5.5,4,7,19.0,2.0
test,819,5,33,6.6,,13.0,6,7,1,5.0,5,5,9.0,1.0
test,819,6,120,20.0,,14.666666666666666,10,22,7,6.0,2,10,34.0,6.0
test,819,20,170,8.5,,16.2,3,17,7,6.428571428571429,2,10,40.0,5.0
test,819,5,90,18.0,,11.75,5,15,6,4.666666666666667,2,11,24.0,4.0
test,819,9,79,8.777777777777779,,20.666666666666668,3,16,2,7.0,5,9,16.0,3.0
test,819,3,53,17.666666666666668,,8.5,8,9,2,3.5,3,4,36.0,2.0
test,819,5,73,14.6,,22.0,3,14,1,13.0,13,13,30.0,2.0
test,819,5,92,18.4,,17.25,4,23,4,9.25,3,13,42.0,4.0
test,819,27,383,14.185185185185185,,25.545454545454547,2,33,7,10.428571428571429,2,22,38.0,11.0
test,819,6,41,6.833333333333333,,9.333333333333334,3,10,5,2.6,1,4,10.0,3.0
test,819,1,70,70.0,,16.5,13,20,2,5.0,1,9,70.0,2.0
test,819,15,285,19.0,,18.0,8,28,7,11.0,4,23,58.0,8.0
test,819,16,161,10.0625,,19.428571428571427,3,26,7,5.857142857142857,2,10,33.0,7.0
test,819,16,160,10.0,,11.857142857142858,3,17,8,4.875,1,12,24.0,7.0
test,819,3,56,18.666666666666668,,5.0,5,5,1,1.0,1,1,24.0,1.0
test,819,24,352,14.666666666666666,,23.6,3,28,6,7.166666666666667,1,13,42.0,5.0
test,819,7,101,14.428571428571429,,12.666666666666666,5,19,7,7.0,3,15,36.0,6.0
test,819,2,144,72.0,,8.714285714285714,5,11,5,3.4,2,5,136.0,7.0
test,819,10,80,8.0,,14.5,3,17,4,6.25,1,14,20.0,4.0
test,819,8,135,16.875,,11.714285714285714,7,19,8,5.25,1,12,43.0,7.0
test,819,5,157,31.4,,10.636363636363637,7,16,10,5.3,1,12,60.0,11.0
test,819,6,103,17.166666666666668,,8.333333333333334,7,10,3,4.0,3,5,33.0,3.0
test,819,28,307,10.964285714285714,,18.083333333333332,2,21,11,6.818181818181818,3,13,30.0,12.0
test,819,9,77,8.555555555555555,,18.666666666666668,3,13,2,2.5,1,4,13.0,3.0
test,819,4,47,11.75,,8.5,8,9,2,3.0,3,3,21.0,2.0
test,819,14,168,12.0,,11.142857142857142,3,18,6,3.0,1,8,24.0,7.0
test,819,11,205,18.636363636363637,,20.333333333333332,3,26,13,7.615384615384615,2,16,40.0,9.0
test,819,3,38,12.666666666666666,,12.0,12,12,2,3.5,1,6,17.0,1.0
test,819,9,105,11.666666666666666,,11.125,3,15,10,4.6,1,10,24.0,8.0
test,819,8,60,7.5,,13.25,2,15,3,7.666666666666667,5,9,17.0,4.0
test,819,11,142,12.909090909090908,,17.75,5,22,5,3.2,1,12,24.0,4.0
test,819,4,38,9.5,,12.0,3,9,1,7.0,7,7,14.0,1.0
test,819,3,67,22.333333333333332,,11.5,3,11,2,6.0,4,8,42.0,2.0
test,819,8,67,8.375,,12.0,3,10,5,4.8,3,7,26.0,5.0
test,819,30,225,7.5,,15.11111111111111,3,13,8,4.0,1,7,22.0,9.0
test,819,1,33,33.0,,8.0,8,8,2,2.5,2,3,33.0,1.0
test,819,4,38,9.5,,6.5,6,7,2,1.0,1,1,15.0,2.0
test,819,5,36,7.2,,10.5,5,10,2,3.0,2,4,10.0,2.0
test,819,5,53,10.6,,8.25,3,8,6,2.1666666666666665,1,3,18.0,4.0
test,819,4,125,31.25,,12.75,9,16,5,6.4,2,9,47.0,4.0
test,819,7,47,6.714285714285714,,13.666666666666666,3,12,3,5.666666666666667,1,9,12.0,3.0
test,819,3,28,9.333333333333334,,12.0,12,12,1,9.0,9,9,16.0,1.0
test,819,4,36,9.0,,7.0,6,8,2,2.0,2,2,13.0,2.0
test,819,29,254,8.758620689655173,,15.363636363636363,2,20,7,5.142857142857143,1,10,33.0,11.0
test,819,30,231,7.7,,13.916666666666666,3,24,11,6.545454545454546,1,20,24.0,12.0
test,819,20,143,7.15,,15.666666666666666,3,17,8,5.25,1,9,17.0,6.0
test,819,9,97,10.777777777777779,,23.333333333333332,3,17,4,7.25,4,11,30.0,3.0
test,819,26,306,11.76923076923077,,13.9375,3,18,17,3.764705882352941,1,8,30.0,16.0
test,819,15,303,20.2,,15.666666666666666,3,19,8,4.375,3,7,41.0,9.0
test,819,20,128,6.4,,11.2,3,17,5,6.6,3,13,17.0,5.0
test,819,2,150,75.0,,14.5,3,18,6,8.5,3,16,147.0,6.0
test,819,2,60,30.0,,16.0,15,17,2,3.0,2,4,41.0,2.0
test,819,4,60,15.0,,13.333333333333334,12,16,4,5.75,3,11,22.0,3.0
test,819,45,444,9.866666666666667,,25.647058823529413,2,34,20,7.1,1,16,34.0,17.0
test,819,3,94,31.333333333333332,,10.0,5,15,4,5.25,3,11,47.0,4.0
test,819,22,155,7.045454545454546,,12.0,3,12,5,4.2,1,9,13.0,5.0
test,819,1,23,23.0,,11.0,11,11,1,5.0,5,5,23.0,1.0
test,819,10,146,14.6,,13.333333333333334,3,19,6,7.666666666666667,3,15,39.0,6.0
test,819,1,19,19.0,,8.0,8,8,1,3.0,3,3,19.0,1.0
test,819,13,144,11.076923076923077,,9.0,3,11,3,4.0,2,6,49.0,3.0
test,819,5,62,12.4,,16.0,3,15,2,9.0,7,11,21.0,2.0
test,819,8,151,18.875,,10.5,6,16,6,3.8333333333333335,1,5,48.0,6.0
test,819,4,57,14.25,,11.5,8,15,3,3.6666666666666665,1,7,32.0,4.0
test,819,4,55,13.75,,9.75,2,11,4,4.0,1,7,27.0,4.0
test,819,8,72,9.0,,8.5,3,7,4,3.5,2,5,38.0,4.0
test,819,26,227,8.73076923076923,,12.846153846153847,3,15,12,4.833333333333333,1,9,18.0,13.0
test,819,4,166,41.5,,11.166666666666666,4,14,4,5.5,2,10,137.0,6.0
test,819,25,185,7.4,,16.2,3,19,12,5.083333333333333,1,16,19.0,10.0
test,819,8,97,12.125,,16.4,3,17,6,8.166666666666666,6,12,27.0,5.0
test,819,7,183,26.142857142857142,,16.0,8,27,11,6.2727272727272725,1,15,103.0,8.0
test,819,18,241,13.38888888888889,,16.454545454545453,3,20,12,7.166666666666667,4,13,31.0,11.0
test,819,6,90,15.0,,15.0,2,16,3,9.0,6,11,32.0,4.0
test,819,2,41,20.5,,8.25,7,10,3,3.0,2,5,31.0,4.0
test,819,6,71,11.833333333333334,,10.4,3,11,5,5.2,3,8,22.0,5.0
test,819,1,17,17.0,,6.0,6,6,1,1.0,1,1,17.0,1.0
test,819,20,228,11.4,,13.428571428571429,3,24,7,7.857142857142857,2,17,62.0,7.0
test,819,16,120,7.5,,15.0,10,20,2,9.0,4,14,20.0,2.0
test,819,4,35,8.75,,11.666666666666666,3,12,3,5.0,4,6,12.0,3.0
test,819,7,46,6.571428571428571,,11.5,3,18,4,4.0,1,6,15.0,4.0
test,819,9,65,7.222222222222222,,9.0,3,14,3,4.333333333333333,1,10,21.0,3.0
test,819,10,88,8.8,,14.833333333333334,4,16,5,5.4,2,8,16.0,6.0
test,819,29,193,6.655172413793103,,14.909090909090908,3,21,10,5.2,1,10,21.0,11.0
test,819,7,97,13.857142857142858,,6.666666666666667,4,7,5,1.6,1,4,37.0,3.0
test,819,6,107,17.833333333333332,,13.666666666666666,3,19,5,7.8,2,13,44.0,6.0
test,819,2,39,19.5,,13.0,13,13,1,8.0,8,8,26.0,1.0
test,819,30,197,6.566666666666666,,15.0,3,15,6,4.166666666666667,2,10,19.0,6.0
test,819,25,258,10.32,,30.666666666666668,2,24,7,6.285714285714286,3,9,26.0,6.0
test,819,15,149,9.933333333333334,,16.6,3,17,4,6.5,2,9,22.0,5.0
test,819,7,113,16.142857142857142,,9.8,3,11,4,4.75,4,7,39.0,5.0
test,819,27,319,11.814814814814815,,18.166666666666668,3,21,10,6.0,1,12,29.0,12.0
test,819,1,22,22.0,,9.0,9,9,1,5.0,5,5,22.0,1.0
test,819,5,386,77.2,,19.823529411764707,8,44,15,11.2,2,40,209.0,17.0
test,819,4,27,6.75,,11.0,3,12,4,1.75,1,3,12.0,2.0
test,819,7,63,9.0,,10.5,3,17,0,0.0,1,3,17.0,6.0
test,819,7,76,10.857142857142858,,17.0,3,14,1,7.0,7,7,21.0,1.0
test,819,7,88,12.571428571428571,,14.0,12,16,2,4.0,2,6,26.0,2.0
test,819,6,65,10.833333333333334,,9.666666666666666,5,15,4,2.25,1,6,15.0,3.0
test,819,6,38,6.333333333333333,,8.0,7,9,2,3.0,1,5,15.0,2.0
test,819,42,420,10.0,,27.285714285714285,3,26,2,9.0,8,10,26.0,7.0
test,819,12,184,15.333333333333334,,9.875,3,11,7,5.142857142857143,1,8,50.0,8.0
test,819,24,175,7.291666666666667,,13.222222222222221,3,17,6,4.333333333333333,1,8,27.0,9.0
test,819,7,77,11.0,,9.75,3,10,4,3.0,1,5,29.0,4.0
test,819,26,191,7.346153846153846,,13.25,3,14,9,3.7777777777777777,1,12,18.0,8.0
test,819,32,343,10.71875,,30.444444444444443,3,28,14,6.071428571428571,1,13,28.0,9.0
test,819,14,158,11.285714285714286,,17.0,3,15,4,5.75,2,9,27.0,4.0
test,819,3,146,48.666666666666664,,13.375,9,18,7,7.142857142857143,4,12,86.0,8.0
test,819,6,94,15.666666666666666,,19.333333333333332,16,26,4,7.25,2,13,32.0,3.0
test,819,10,59,5.9,,11.75,3,10,4,3.25,1,6,13.0,4.0
test,819,7,75,10.714285714285714,,10.0,3,13,6,4.333333333333333,1,8,22.0,5.0
test,819,3,45,15.0,,11.0,8,14,2,5.5,3,8,22.0,2.0
test,819,19,123,6.473684210526316,,16.0,3,13,1,7.0,7,7,17.0,2.0
test,819,4,46,11.5,,9.2,2,15,0,0.0,7,7,22.0,5.0
test,819,3,31,10.333333333333334,,6.5,6,7,3,1.6666666666666667,1,3,16.0,2.0
test,819,8,104,13.0,,8.5,7,11,6,3.6666666666666665,3,5,27.0,6.0
test,819,5,65,13.0,,9.6,3,11,5,5.0,1,7,24.0,5.0
test,819,27,239,8.851851851851851,,19.571428571428573,3,22,6,4.333333333333333,1,9,22.0,7.0
test,819,31,288,9.290322580645162,,25.0,3,28,4,8.0,2,13,28.0,7.0
test,819,11,78,7.090909090909091,,12.5,4,11,5,3.0,1,5,20.0,4.0
test,819,4,73,18.25,,19.333333333333332,3,23,4,6.0,1,16,29.0,3.0
test,819,3,39,13.0,,14.0,11,17,2,6.5,6,7,21.0,2.0
test,819,9,106,11.777777777777779,,12.333333333333334,3,13,3,5.666666666666667,2,9,31.0,3.0
test,819,33,254,7.696969696969697,,15.4,3,25,10,5.1,1,12,30.0,10.0
test,819,10,84,8.4,,13.5,3,12,4,7.25,4,11,20.0,4.0
test,819,6,100,16.666666666666668,,10.5,9,12,2,5.0,4,6,29.0,2.0
test,819,15,211,14.066666666666666,,29.2,3,50,4,5.25,3,7,58.0,5.0
test,819,10,87,8.7,,9.833333333333334,3,11,6,4.333333333333333,1,8,18.0,6.0
test,819,25,157,6.28,,10.666666666666666,3,9,4,2.75,2,3,18.0,3.0
test,819,24,341,14.208333333333334,,19.2,1,31,17,7.588235294117647,1,22,45.0,15.0
test,819,22,253,11.5,,17.88888888888889,3,32,8,8.75,1,29,43.0,9.0
test,819,52,485,9.326923076923077,,23.285714285714285,2,22,14,6.0,1,11,28.0,14.0
test,819,15,119,7.933333333333334,,16.5,4,20,5,5.8,1,14,27.0,4.0
test,819,5,72,14.4,,41.0,3,25,1,17.0,17,17,26.0,1.0
test,819,6,48,8.0,,13.666666666666666,3,12,3,6.0,5,7,20.0,3.0
test,819,13,97,7.461538461538462,,9.0,9,9,1,4.0,4,4,27.0,1.0
test,819,9,69,7.666666666666667,,7.714285714285714,3,8,7,2.142857142857143,1,4,13.0,7.0
test,819,34,267,7.852941176470588,,15.333333333333334,2,20,9,6.0,1,10,40.0,9.0
test,819,24,215,8.958333333333334,,23.0,3,25,9,8.444444444444445,1,16,25.0,8.0
test,819,12,152,12.666666666666666,,10.333333333333334,4,16,3,6.0,1,10,32.0,3.0
test,819,19,439,23.105263157894736,,23.133333333333333,4,35,14,10.928571428571429,1,22,83.0,15.0
test,819,16,167,10.4375,,20.8,1,19,8,6.625,4,11,29.0,5.0
test,819,12,86,7.166666666666667,,11.8,3,12,6,4.333333333333333,2,6,12.0,5.0
test,819,10,174,17.4,,7.615384615384615,3,10,15,2.8666666666666667,1,5,41.0,13.0
test,819,13,222,17.076923076923077,,46.75,3,35,9,10.11111111111111,3,20,35.0,4.0
test,819,5,177,35.4,,16.166666666666668,6,16,8,4.25,1,10,94.0,6.0
test,819,14,106,7.571428571428571,,18.0,3,9,2,3.5,2,5,13.0,2.0
test,819,3,51,17.0,,9.666666666666666,8,13,4,3.25,1,6,32.0,3.0
test,819,4,129,32.25,,11.0,3,8,1,3.0,3,3,52.0,1.0
test,819,7,69,9.857142857142858,,12.333333333333334,3,13,5,3.2,1,8,19.0,3.0
test,819,4,73,18.25,,12.166666666666666,6,14,7,4.714285714285714,1,9,28.0,6.0
test,819,25,246,9.84,,14.857142857142858,1,18,6,6.5,3,13,33.0,7.0
test,819,4,223,55.75,,11.0,7,16,7,5.142857142857143,1,10,89.0,13.0
test,819,11,233,21.181818181818183,,12.9,8,18,11,5.818181818181818,1,11,52.0,10.0
test,819,10,103,10.3,,12.0,9,15,2,4.5,4,5,26.0,2.0
test,819,6,98,16.333333333333332,,16.0,3,17,4,9.5,2,15,28.0,4.0
test,819,23,226,9.826086956521738,,17.0,3,22,9,6.555555555555555,1,15,23.0,10.0
test,819,6,50,8.333333333333334,,11.666666666666666,3,16,3,5.666666666666667,3,7,20.0,3.0
test,819,30,313,10.433333333333334,,25.7,3,24,13,7.0,1,17,24.0,10.0
test,819,10,168,16.8,,11.285714285714286,3,16,9,4.222222222222222,1,10,38.0,7.0
test,819,11,126,11.454545454545455,,11.8,2,14,5,5.0,1,10,21.0,5.0
test,819,5,46,9.2,,10.0,6,8,4,2.0,1,3,14.0,2.0
test,819,5,24,4.8,,8.0,3,5,1,2.0,2,2,8.0,1.0
test,819,22,198,9.0,,13.0,3,19,15,4.133333333333334,1,11,29.0,14.0
test,819,10,85,8.5,,12.5,10,15,2,8.0,6,10,21.0,2.0
test,819,13,208,16.0,,14.375,3,21,7,7.714285714285714,4,14,66.0,8.0
test,819,1,22,22.0,,11.0,11,11,2,1.5,1,2,22.0,1.0
test,819,4,47,11.75,,7.0,5,9,2,3.0,1,5,25.0,2.0
test,819,4,73,18.25,,8.666666666666666,6,11,3,4.333333333333333,2,7,30.0,3.0
test,819,4,32,8.0,,9.5,3,9,2,4.0,4,4,16.0,2.0
test,819,2,31,15.5,,12.5,9,16,4,1.75,1,3,16.0,2.0
test,819,15,208,13.866666666666667,,10.5,1,19,7,3.857142857142857,1,8,36.0,6.0
test,819,10,161,16.1,,26.0,3,30,7,10.0,5,17,46.0,5.0
test,819,7,146,20.857142857142858,,11.333333333333334,4,20,12,4.25,1,9,40.0,9.0
test,819,24,195,8.125,,16.666666666666668,3,19,6,7.166666666666667,1,16,22.0,6.0
test,819,14,232,16.571428571428573,,16.75,6,23,3,6.333333333333333,3,10,53.0,4.0
test,819,5,62,12.4,,9.2,3,12,5,4.2,2,6,31.0,5.0
test,819,5,50,10.0,,10.0,10,10,1,4.0,4,4,16.0,1.0
test,819,10,76,7.6,,14.0,5,12,2,6.0,1,11,18.0,2.0
test,819,33,403,12.212121212121213,,20.714285714285715,3,26,16,8.125,1,18,64.0,14.0
test,819,10,81,8.1,,16.0,3,13,2,10.0,9,11,16.0,2.0
test,819,14,89,6.357142857142857,,21.5,3,12,2,5.5,5,6,16.0,2.0
test,819,11,94,8.545454545454545,,13.333333333333334,3,19,7,4.428571428571429,2,7,17.0,6.0
test,819,12,174,14.5,,17.857142857142858,1,20,8,7.625,1,19,58.0,7.0
test,819,16,87,5.4375,,10.75,2,10,4,4.5,3,6,11.0,4.0
test,819,3,76,25.333333333333332,,11.0,10,13,3,5.333333333333333,2,9,48.0,3.0
test,819,9,136,15.11111111111111,,13.666666666666666,3,20,6,7.666666666666667,1,19,41.0,6.0
test,819,5,27,5.4,,11.0,3,9,2,4.5,3,6,9.0,2.0
test,819,3,70,23.333333333333332,,15.25,2,21,3,7.666666666666667,1,15,30.0,4.0
test,819,6,51,8.5,,12.0,3,13,3,4.333333333333333,2,6,28.0,3.0
test,819,4,100,25.0,,13.285714285714286,3,22,8,6.25,1,12,81.0,7.0
test,819,7,99,14.142857142857142,,14.2,3,22,6,4.333333333333333,2,8,48.0,5.0
test,819,12,140,11.666666666666666,,9.307692307692308,3,14,13,4.230769230769231,2,10,30.0,13.0
test,819,21,307,14.619047619047619,,15.5,3,26,6,8.5,3,22,79.0,6.0
test,819,6,83,13.833333333333334,,8.0,6,10,3,1.6666666666666667,1,2,34.0,3.0
test,819,8,131,16.375,,10.11111111111111,5,15,10,4.7,1,10,38.0,9.0
test,819,19,149,7.842105263157895,,16.11111111111111,3,16,12,5.166666666666667,1,11,17.0,9.0
test,819,2,16,8.0,,8.0,8,8,2,1.0,1,1,8.0,1.0
test,819,6,106,17.666666666666668,,14.0,5,18,6,7.166666666666667,3,14,30.0,6.0
test,819,17,152,8.941176470588236,,11.0,3,19,10,5.9,1,11,27.0,9.0
test,819,10,70,7.0,,12.0,2,9,3,4.666666666666667,1,7,12.0,3.0
test,819,6,54,9.0,,7.5,3,11,3,4.333333333333333,2,7,22.0,4.0
test,819,23,294,12.782608695652174,,16.0,2,26,15,5.6,2,14,42.0,13.0
test,819,3,126,42.0,,13.285714285714286,5,19,6,6.333333333333333,1,10,61.0,7.0
test,819,6,31,5.166666666666667,,9.0,3,11,3,3.3333333333333335,1,6,11.0,2.0
test,819,10,152,15.2,,9.666666666666666,3,9,4,4.0,1,8,51.0,3.0
test,819,1,56,56.0,,9.2,8,11,5,4.4,3,6,56.0,5.0
test,819,9,122,13.555555555555555,,12.6,3,14,5,6.8,3,10,39.0,5.0
test,819,4,56,14.0,,8.666666666666666,8,9,4,2.5,2,4,23.0,3.0
test,819,4,32,8.0,,11.5,2,14,2,3.5,1,6,14.0,2.0
test,819,3,54,18.0,,12.5,9,16,5,5.8,4,8,35.0,4.0
test,819,4,39,9.75,,12.5,5,12,2,6.5,6,7,17.0,2.0
test,819,10,129,12.9,,8.0,3,5,1,4.0,4,4,33.0,1.0
test,819,16,221,13.8125,,17.0,3,28,12,7.333333333333333,1,16,38.0,11.0
test,819,5,79,15.8,,26.5,13,20,1,13.0,13,13,33.0,2.0
test,819,10,115,11.5,,15.166666666666666,3,17,7,7.142857142857143,3,13,31.0,6.0
test,819,11,91,8.272727272727273,,11.333333333333334,4,8,5,2.8,1,6,13.0,3.0
test,819,10,235,23.5,,12.625,3,20,8,6.125,1,15,67.0,8.0
test,819,22,306,13.909090909090908,,17.75,3,35,14,7.928571428571429,1,16,42.0,12.0
test,819,10,123,12.3,,21.0,3,20,4,4.75,2,7,49.0,4.0
test,819,9,178,19.77777777777778,,12.857142857142858,5,19,8,2.25,1,6,66.0,7.0
test,819,6,98,16.333333333333332,,16.2,6,24,4,8.75,5,13,35.0,5.0
test,819,21,252,12.0,,10.666666666666666,1,16,10,4.0,1,10,27.0,12.0
test,819,21,204,9.714285714285714,,16.666666666666668,2,22,12,5.5,1,13,48.0,9.0
test,819,3,44,14.666666666666666,,7.666666666666667,3,7,3,1.6666666666666667,1,3,30.0,3.0
test,819,14,229,16.357142857142858,,10.923076923076923,1,15,10,4.2,2,7,28.0,13.0
test,819,10,107,10.7,,13.25,3,15,4,5.75,4,8,21.0,4.0
test,819,27,403,14.925925925925926,,16.25,3,26,17,8.764705882352942,1,25,52.0,20.0
test,819,44,482,10.954545454545455,,19.45,3,29,17,6.176470588235294,1,22,35.0,20.0
test,819,4,36,9.0,,11.0,11,11,1,5.0,5,5,11.0,1.0
test,819,2,35,17.5,,11.5,10,13,2,6.5,5,8,20.0,2.0
test,819,3,35,11.666666666666666,,7.0,5,9,3,2.3333333333333335,1,5,23.0,2.0
test,819,15,229,15.266666666666667,,19.5,5,26,11,5.454545454545454,2,15,39.0,8.0
test,819,7,178,25.428571428571427,,14.5,1,22,3,3.6666666666666665,1,8,73.0,4.0
test,819,5,58,11.6,,14.0,13,15,3,6.0,4,9,27.0,3.0
test,819,16,183,11.4375,,15.444444444444445,5,21,11,6.181818181818182,2,9,30.0,9.0
test,819,4,104,26.0,,8.5,7,10,2,4.5,3,6,54.0,2.0
test,819,19,150,7.894736842105263,,21.0,3,14,3,6.666666666666667,2,12,16.0,3.0
test,819,31,377,12.161290322580646,,17.88888888888889,1,31,13,8.384615384615385,1,14,55.0,18.0
test,819,14,145,10.357142857142858,,12.714285714285714,3,17,6,6.166666666666667,1,12,18.0,7.0
test,819,53,471,8.88679245283019,,18.4375,3,22,17,6.9411764705882355,1,13,32.0,16.0
test,819,2,48,24.0,,11.0,10,12,2,5.5,5,6,28.0,2.0
test,819,9,90,10.0,,19.333333333333332,3,21,3,5.0,1,8,20.0,3.0
test,819,2,49,24.5,,6.5,6,7,2,2.0,1,3,31.0,2.0
test,819,8,137,17.125,,11.666666666666666,3,15,6,7.0,4,11,49.0,6.0
test,819,17,262,15.411764705882353,,29.0,2,34,11,6.909090909090909,1,21,41.0,8.0
